algorithm,T,B,p,lambda,confidence,buy_day,OPT,ALG,cost_ratio,prediction_error,relative_prediction_error
deterministic,1,10,50,0.5,,10,1,1,1.0,49,49.0
prediction_only,1,10,50,,,,1,10,10.0,49,49.0
learning_augmented,1,10,50,0.5,1.0,5,1,1,1.0,49,49.0
trust_aware_c=0.0,1,10,50,0.5,0.0,10,1,1,1.0,49,49.0
trust_aware_c=0.25,1,10,50,0.5,0.25,9,1,1,1.0,49,49.0
trust_aware_c=0.5,1,10,50,0.5,0.5,8,1,1,1.0,49,49.0
trust_aware_c=0.75,1,10,50,0.5,0.75,7,1,1,1.0,49,49.0
trust_aware_c=1.0,1,10,50,0.5,1.0,5,1,1,1.0,49,49.0
deterministic,2,10,50,0.5,,10,2,2,1.0,48,24.0
prediction_only,2,10,50,,,,2,10,5.0,48,24.0
learning_augmented,2,10,50,0.5,1.0,5,2,2,1.0,48,24.0
trust_aware_c=0.0,2,10,50,0.5,0.0,10,2,2,1.0,48,24.0
trust_aware_c=0.25,2,10,50,0.5,0.25,9,2,2,1.0,48,24.0
trust_aware_c=0.5,2,10,50,0.5,0.5,8,2,2,1.0,48,24.0
trust_aware_c=0.75,2,10,50,0.5,0.75,7,2,2,1.0,48,24.0
trust_aware_c=1.0,2,10,50,0.5,1.0,5,2,2,1.0,48,24.0
deterministic,3,10,50,0.5,,10,3,3,1.0,47,15.666666666666666
prediction_only,3,10,50,,,,3,10,3.3333333333333335,47,15.666666666666666
learning_augmented,3,10,50,0.5,1.0,5,3,3,1.0,47,15.666666666666666
trust_aware_c=0.0,3,10,50,0.5,0.0,10,3,3,1.0,47,15.666666666666666
trust_aware_c=0.25,3,10,50,0.5,0.25,9,3,3,1.0,47,15.666666666666666
trust_aware_c=0.5,3,10,50,0.5,0.5,8,3,3,1.0,47,15.666666666666666
trust_aware_c=0.75,3,10,50,0.5,0.75,7,3,3,1.0,47,15.666666666666666
trust_aware_c=1.0,3,10,50,0.5,1.0,5,3,3,1.0,47,15.666666666666666
deterministic,4,10,50,0.5,,10,4,4,1.0,46,11.5
prediction_only,4,10,50,,,,4,10,2.5,46,11.5
learning_augmented,4,10,50,0.5,1.0,5,4,4,1.0,46,11.5
trust_aware_c=0.0,4,10,50,0.5,0.0,10,4,4,1.0,46,11.5
trust_aware_c=0.25,4,10,50,0.5,0.25,9,4,4,1.0,46,11.5
trust_aware_c=0.5,4,10,50,0.5,0.5,8,4,4,1.0,46,11.5
trust_aware_c=0.75,4,10,50,0.5,0.75,7,4,4,1.0,46,11.5
trust_aware_c=1.0,4,10,50,0.5,1.0,5,4,4,1.0,46,11.5
deterministic,5,10,50,0.5,,10,5,5,1.0,45,9.0
prediction_only,5,10,50,,,,5,10,2.0,45,9.0
learning_augmented,5,10,50,0.5,1.0,5,5,14,2.8,45,9.0
trust_aware_c=0.0,5,10,50,0.5,0.0,10,5,5,1.0,45,9.0
trust_aware_c=0.25,5,10,50,0.5,0.25,9,5,5,1.0,45,9.0
trust_aware_c=0.5,5,10,50,0.5,0.5,8,5,5,1.0,45,9.0
trust_aware_c=0.75,5,10,50,0.5,0.75,7,5,5,1.0,45,9.0
trust_aware_c=1.0,5,10,50,0.5,1.0,5,5,14,2.8,45,9.0
deterministic,6,10,50,0.5,,10,6,6,1.0,44,7.333333333333333
prediction_only,6,10,50,,,,6,10,1.6666666666666667,44,7.333333333333333
learning_augmented,6,10,50,0.5,1.0,5,6,14,2.3333333333333335,44,7.333333333333333
trust_aware_c=0.0,6,10,50,0.5,0.0,10,6,6,1.0,44,7.333333333333333
trust_aware_c=0.25,6,10,50,0.5,0.25,9,6,6,1.0,44,7.333333333333333
trust_aware_c=0.5,6,10,50,0.5,0.5,8,6,6,1.0,44,7.333333333333333
trust_aware_c=0.75,6,10,50,0.5,0.75,7,6,6,1.0,44,7.333333333333333
trust_aware_c=1.0,6,10,50,0.5,1.0,5,6,14,2.3333333333333335,44,7.333333333333333
deterministic,7,10,50,0.5,,10,7,7,1.0,43,6.142857142857143
prediction_only,7,10,50,,,,7,10,1.4285714285714286,43,6.142857142857143
learning_augmented,7,10,50,0.5,1.0,5,7,14,2.0,43,6.142857142857143
trust_aware_c=0.0,7,10,50,0.5,0.0,10,7,7,1.0,43,6.142857142857143
trust_aware_c=0.25,7,10,50,0.5,0.25,9,7,7,1.0,43,6.142857142857143
trust_aware_c=0.5,7,10,50,0.5,0.5,8,7,7,1.0,43,6.142857142857143
trust_aware_c=0.75,7,10,50,0.5,0.75,7,7,16,2.2857142857142856,43,6.142857142857143
trust_aware_c=1.0,7,10,50,0.5,1.0,5,7,14,2.0,43,6.142857142857143
deterministic,8,10,50,0.5,,10,8,8,1.0,42,5.25
prediction_only,8,10,50,,,,8,10,1.25,42,5.25
learning_augmented,8,10,50,0.5,1.0,5,8,14,1.75,42,5.25
trust_aware_c=0.0,8,10,50,0.5,0.0,10,8,8,1.0,42,5.25
trust_aware_c=0.25,8,10,50,0.5,0.25,9,8,8,1.0,42,5.25
trust_aware_c=0.5,8,10,50,0.5,0.5,8,8,17,2.125,42,5.25
trust_aware_c=0.75,8,10,50,0.5,0.75,7,8,16,2.0,42,5.25
trust_aware_c=1.0,8,10,50,0.5,1.0,5,8,14,1.75,42,5.25
deterministic,9,10,50,0.5,,10,9,9,1.0,41,4.555555555555555
prediction_only,9,10,50,,,,9,10,1.1111111111111112,41,4.555555555555555
learning_augmented,9,10,50,0.5,1.0,5,9,14,1.5555555555555556,41,4.555555555555555
